Samsung,Korea
Toyota,Japan
ICBC,China
BMW,Germany
Telekom,Germany
Mercedes,Germany
Shell,Netherlands
Vodafone,England
Mitsubishi,Japan
HSBC,England
Hyundai,Korea
PetroChina,China
Allianz,Germany
Sinopec,China
Huawei,China
Honda,Japan
SoftBank,Japan
Orange,France
Siemens,Germany
Volkswagen,Germany
BT,England
AXA,France
Alibaba,China
Nissan,Japan
IKEA,Sweden
BP,England
Baidu,China
Barclays,England
Mitsui,Japan
Santander,Spain
Bosch,Germany
H&M,Sweden
Total,France
ALDI,Germany
au,Japan
Hitachi,Japan
Tata,India
Sumitomo,Japan
MUFG,Japan
Tesco,England
LG,Korea
Engie,France
Sky,England
Telstra,Australia
KPMG,Netherlands
Panasonic,Japan
Airbus,France
Zara,Spain
Generali,Italy
Petronas,Malaysia
QQ,China
RBC,Canada
Audi,Germany
DHL,Germany
TD,Canada
Ericsson,Sweden
Carrefour,France
Bell,Canada
EDF,France
SAP,Germany
Sony,Japan
Eni,Italy
UBS,Switzerland
Lidl,Germany
BBVA,Spain
O2,England
Danone,France
Zurich,Switzerland
Movistar,Spain
Philips,Netherlands
Enel,Italy
Cartier,France
ING,Netherlands
Woolworths,Australia
Renault,France
Playstation,Japan
ANZ,Australia
Rabobank,Netherlands
CSR,China
Scotiabank,Canada
UNIQLO,Japan
adidas,Germany
Marubeni,Japan
BBC,England
Prudential,England
Canon,Japan
Swisscom,Switzerland
Aviva,England
Toshiba,Japan
CPIC,China
LIC,India
Statoil,Norway
Bridgestone,Japan
WeChat,China
EE,England
BASF,Germany
telenor,Norway
Nivea,Germany
Rolex,Switzerland
Michelin,France
Westpac,Australia
Chanel,France
Mizuho,Japan
Moutai,China
Airtel,India
PICC,China
ABB,Switzerland
Nordea,Sweden
TeliaSonera,Sweden
Gucci,Italy
AIA,China
Xiaomi,China
Vinci,France
DBS,Singapore
KT,Korea
Jardines,China
Petrobras,Brazil
Aeon,Japan
Fiat,Italy
Lexus,Japan
Coles,Australia
Garnier,France
Infosys,India
Halifax,England
Claro,Mexico
TELUS,Canada
TSMC,Taiwan
CIBC,Canada
ITV,England
CNOOC,China
Lego,Denmark
Mazda,Japan
Porsche,Germany
Unilever,Netherlands
Ferrari,Italy
Rogers,Canada
Bayer,Germany
MINI,England
Burberry,England
Falabella,Chile
Heineken,Netherlands
Fresenius,Germany
Bouygues,France
Iberdrola,Spain
CREC,China
Lipton,Netherlands
Camel,Japan
Dove,Netherlands
Suzuki,Japan
Subaru,Japan
SFR,France
Volvo,Sweden
NatWest,England
Roche,Switzerland
Fujitsu,Japan
CRCC,China
Casino,France
KBC,Belgium
KPN,Netherlands
UniCredit,Italy
Fujifilm,Japan
Omega,Switzerland
Maersk,Denmark
Continental,Germany
Nomura,Japan
Arla,Denmark
Doosan,Korea
Morrisons,England
MS&AD,Japan
GS,Korea
Optus,Australia
POSCO,Korea
Randstad,Netherlands
Brookfield,Canada
Prada,Italy
Edeka,Germany
Clarins,France
SSE,England
Ecopetrol,Colombia
Novartis,Switzerland
Skol,Brazil
ONGC,India
TEPCO,Japan
DNB,Norway
Tui,Germany
Denso,Japan
CN,Canada
Mevius,Japan
Asahi,Japan
BG,England
Telcel,Mexico
Hikvision,China
Capita,England
Shiseido,Japan
Capgemini,France
Kent,England
