Godfather,Coppola
Inception,Nolan
Goodfellas,Scorsese
Matrix,Wachowski
Se7en,Fincher
Léon,Besson
Interstellar,Nolan
Casablanca,Curtiz
Psycho,Hitchcock
Intouchables,Nakache
Terminator,Cameron
Pianist,Polanski
Departed,Scorsese
Gladiator,Scott
Memento,Nolan
Prestige,Nolan
Alien,Scott
Shining,Kubrick
Oldboy,Park
Vertigo,Hitchcock
Boot,Petersen
M,Lang
Amélie,Jeunet
Braveheart,Gibson
Amadeus,Forman
Sting,Hill
Snatch,Ritchie
Rashomon,Kurosawa
Apartment,Wilder
Scarface,Palma
Separation,Farhadi
Metropolis,Lang
Hunt,Vinterberg
Unforgiven,Eastwood
Up,Docter
Downfall,Hirschbiegel
Chinatown,Polanski
Room,Abrahamson
Heat,Mann
Ikiru,Kurosawa
Ran,Kurosawa
Sunrise,Murnau
Message,Akkad
General,Bruckman
Casino,Scorsese
Warrior,O'Connor
Incendies,Villeneuve
Rebecca,Hitchcock
Fargo,Coen
Trainspotting,Boyle
Thing,Carpenter
Rush,Howard
Platoon,Stone
Network,Lumet
Revenant,Iñárritu
Persona,Bergman
Ben-Hur,Wyler
Stalker,Tarkovsky
Diabolique,Clouzot
Gandhi,Attenborough
Rocky,Avildsen
Jaws,Spielberg
Haine,Kassovitz
Martian,Scott
Prisoners,Villeneuve
Avengers,Whedon
Help,Taylor
Notorious,Hitchcock
